"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt3173910","movie","Hasee Toh Phasee","Hasee Toh Phasee",0,2014,141,"Comedy","6.8","Vinil Mathew","Sidharth Malhotra","Parineeti Chopra"
"tt3174376","movie","Before I Wake","Before I Wake",0,2016,97,"Drama","6.2","Mike Flanagan","Kate Bosworth","Thomas Jane"
"tt3175038","movie","The Villain","Ek Villain",0,2014,129,"Action","6.6","Mohit Suri","Sidharth Malhotra","Shraddha Kapoor"
"tt3177316","movie","Honeymoon","Honeymoon",0,2014,87,"Drama","5.7","Leigh Janiak","Rose Leslie","Harry Treadaway"
"tt3183660","movie","Fantastic Beasts and Where to Find Them","Fantastic Beasts and Where to Find Them",0,2016,132,"Adventure","7.2","David Yates","Eddie Redmayne","Katherine Waterston"
"tt3195644","movie","Insidious: Chapter 3","Insidious: Chapter 3",0,2015,97,"Horror","6.1","Leigh Whannell","Dermot Mulroney","Stefanie Scott"
"tt3203290","movie","Free to Play","Free to Play",0,2014,75,"Action","7.6","Valve","Benedict Lim","Clinton Loomis"
"tt3203528","movie","Bad Samaritan","Bad Samaritan",0,2018,110,"Crime","6.4","Dean Devlin","David Tennant","Robert Sheehan"
"tt3203606","movie","Trumbo","Trumbo",0,2015,124,"Biography","7.4","Jay Roach","Bryan Cranston","Diane Lane"
"tt3203616","movie","The Cobbler","The Cobbler",0,2014,99,"Comedy","5.8","Tom McCarthy","Adam Sandler","Melonie Diaz"
"tt3210686","movie","Son of God","Son of God",0,2014,138,"Biography","5.7","Christopher Spencer","Diogo Morgado","Amber Rose Revah"
"tt3212232","movie","I Am Wrath","I Am Wrath",0,2016,92,"Action","5.4","Chuck Russell","John Travolta","Christopher Meloni"
"tt3233418","movie","Spare Parts","Spare Parts",0,2015,114,"Biography","7.2","Sean McNamara","George Lopez","Jamie Lee Curtis"
"tt3256226","movie","IO","IO",0,2019,96,"Adventure","4.8","Jonathan Helpert","Margaret Qualley","Anthony Mackie"
"tt3276924","movie","Heist","Heist",0,2015,93,"Action","6.1","Scott Mann","Robert De Niro","Jeffrey Dean Morgan"
"tt3291150","movie","The Expendables 4","Expend4bles",0,2023,103,"Action","4.8","Scott Waugh","Jason Statham","50 Cent"
"tt3296658","movie","Rams","Hrútar",0,2015,93,"Drama","7.2","Grímur Hákonarson","Sigurður Sigurjónsson","Theodór Júlíusson"
"tt3296908","movie","The Man with the Iron Heart","HHhH",0,2017,120,"Action","6.4","Cédric Jimenez","Jason Clarke","Rosamund Pike"
"tt3297330","movie","Good Kill","Good Kill",0,2014,102,"Drama","6.4","Andrew Niccol","Ethan Hawke","January Jones"
"tt3300542","movie","London Has Fallen","London Has Fallen",0,2016,99,"Action","5.9","Babak Najafi","Gerard Butler","Aaron Eckhart"
"tt3300980","movie","The 12th Man","Den 12. mann",0,2017,135,"Drama","7.3","Harald Zwart","Thomas Gullestad","Jonathan Rhys Meyers"
"tt3302820","movie","Cowspiracy: The Sustainability Secret","Cowspiracy: The Sustainability Secret",0,2014,90,"Documentary","8.1","Kip Andersen","Bruce Hamilton","Kip Andersen"
"tt3339674","movie","Burying the Ex","Burying the Ex",0,2014,89,"Comedy","5.4","Joe Dante","Anton Yelchin","Ashley Greene"
"tt26537229","movie","Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village","Kimetsu no Yaiba: Katanakaji no Sato-hen",0,2023,110,"Action","7.5","Haruo Sotozaki","Zach Aguilar","Zach Aguilar"
"tt2668134","movie","Harlock: Space Pirate","Kyaputen Hârokku",0,2013,115,"Action","6.4","Shinji Aramaki","Shun Oguri","Haruma Miura"
"tt26736843","movie","The Watchers","The Watchers",0,2024,102,"Fantasy","5.7","Ishana Shyamalan","Dakota Fanning","Dakota Fanning"
"tt2674358","movie","The Hunter's Prayer","The Hunter's Prayer",0,2017,91,"Action","5.6","Jonathan Mostow","Sam Worthington","Odeya Rush"
"tt2674426","movie","Me Before You","Me Before You",0,2016,110,"Drama","7.4","Thea Sharrock","Emilia Clarke","Sam Claflin"
