"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt0800325","movie","The Dirt","The Dirt",0,2019,107,"Biography","7","Jeff Tremaine","Douglas Booth","Iwan Rheon"
"tt0887261","movie","Hellraiser","Hellraiser",0,2022,121,"Horror","5.9","David Bruckner","Odessa A'zion","Jamie Clayton"
"tt0993840","movie","Army of the Dead","Army of the Dead",0,2021,148,"Action","5.8","Zack Snyder","Dave Bautista","Ella Purnell"
"tt1001520","movie","The Last Voyage of the Demeter","The Last Voyage of the Demeter",0,2023,118,"Fantasy","6.1","André Øvredal","Corey Hawkins","Aisling Franciosi"
"tt10039344","movie","Countdown","Countdown",0,2019,90,"Horror","5.4","Justin Dec","Elizabeth Lail","Jordan Calloway"
"tt10065694","movie","Antebellum","Antebellum",0,2020,105,"Drama","5.8","Gerard Bush","Janelle Monáe","Janelle Monáe"
"tt10095582","movie","The Tragedy of Macbeth","The Tragedy of Macbeth",0,2021,105,"Drama","7.1","Joel Coen","Denzel Washington","Frances McDormand"
"tt10098288","movie","Roohi","Roohi",0,2021,134,"Comedy","4.3","Hardik Mehta","Rajkummar Rao","Janhvi Kapoor"
"tt10098448","movie","Jesus Revolution","Jesus Revolution",0,2023,120,"Biography","7.1","Jon Erwin","Joel Courtney","Jonathan Roumie"
"tt10155932","movie","Cinderella","Cinderella",0,2021,112,"Comedy","4.4","Kay Cannon","Camila Cabello","Billy Porter"
"tt10160976","movie","The Nun II","The Nun II",0,2023,110,"Horror","5.6","Michael Chaves","Taissa Farmiga","Jonas Bloquet"
"tt1016150","movie","All Quiet on the Western Front","Im Westen nichts Neues",0,2022,148,"Action","7.8","Edward Berger","Felix Kammerer","Albrecht Schuch"
"tt10161886","movie","The Prom","The Prom",0,2020,130,"Comedy","5.9","Ryan Murphy","Meryl Streep","James Corden"
"tt10199586","movie","Atlantics","Atlantique",0,2019,106,"Drama","6.7","Mati Diop","Mame Bineta Sane","Amadou Mbow"
"tt10199590","movie","Les Misérables","Les misérables",0,2019,104,"Crime","7.6","Ladj Ly","Damien Bonnard","Alexis Manenti"
"tt10199640","movie","Beanpole","Dylda",0,2019,130,"Drama","7.2","Kantemir Balagov","Viktoria Miroshnichenko","Vasilisa Perelygina"
"tt10199914","movie","The Boys in the Band","The Boys in the Band",0,2020,121,"Drama","6.8","Joe Mantello","Jim Parsons","Zachary Quinto"
"tt10208198","movie","The Gangster, the Cop, the Devil","Akinjeon",0,2019,109,"Action","6.9","Lee Won-tae","Ma Dong-seok","Jeon Bae-soo"
"tt10242388","movie","Last Seen Alive","Last Seen Alive",0,2022,95,"Action","5.7","Brian Goodman","Gerard Butler","Jaimie Alexander"
"tt10243992","movie","I'm Your Woman","I'm Your Woman",0,2020,120,"Crime","6.2","Julia Hart","Rachel Brosnahan","Marsha Stephanie Blake"
"tt10287954","movie","Rose Island","L'incredibile storia dell'isola delle rose",0,2020,117,"Adventure","7","Sydney Sibilia","Elio Germano","Leonardo Lidi"
"tt10288566","movie","Another Round","Druk",0,2020,117,"Drama","7.7","Thomas Vinterberg","Mads Mikkelsen","Thomas Bo Larsen"
"tt10293406","movie","The Power of the Dog","The Power of the Dog",0,2021,126,"Drama","6.8","Jane Campion","Benedict Cumberbatch","Kirsten Dunst"
"tt10322274","movie","Schumacher","Schumacher",0,2021,112,"Biography","7.4","Hanns-Bruno Kammertöns","Ross Brawn","Flavio Briatore"
"tt10323676","movie","The Contractor","The Contractor",0,2022,103,"Action","5.8","Tarik Saleh","Chris Pine","Gillian Jacobs"
"tt10324144","movie","Article 15","Article 15",0,2019,130,"Crime","8.1","Anubhav Sinha","Ayushmann Khurrana","Nassar"
"tt10340562","movie","Etharkkum Thunindhavan","Etharkkum Thunindhavan",0,2022,151,"Action","6.4","Pandiraj","Suriya","Priyanka Arulmohan"
"tt10341034","movie","Black Box","Boîte noire",0,2021,129,"Drama","7.2","Yann Gozlan","Pierre Niney","Lou de Laâge"
"tt10342730","movie","Spiral","Spiral: From the Book of Saw",0,2021,93,"Horror","5.2","Darren Lynn Bousman","Chris Rock","Samuel L. Jackson"
"tt10343028","movie","Armageddon Time","Armageddon Time",0,2022,114,"Drama","6.5","James Gray","Anne Hathaway","Jeremy Strong"
"tt10365998","movie","Infinity Pool","Infinity Pool",0,2023,117,"Crime","6","Brandon Cronenberg","Alexander Skarsgård","Mia Goth"
"tt10366206","movie","John Wick: Chapter 4","John Wick: Chapter 4",0,2023,169,"Action","7.7","Chad Stahelski","Keanu Reeves","Laurence Fishburne"
"tt10366460","movie","CODA","CODA",0,2021,111,"Comedy","8","Sian Heder","Emilia Jones","Marlee Matlin"
"tt10370710","movie","The Worst Person in the World","Verdens verste menneske",0,2021,128,"Comedy","7.7","Joachim Trier","Renate Reinsve","Anders Danielsen Lie"
"tt10399608","movie","Piggy","Cerdita",0,2022,99,"Drama","6.2","Carlota Pereda","Laura Galán","Richard Holmes"
"tt10403420","movie","Terrifier 2","Terrifier 2",0,2022,138,"Horror","6.1","Damien Leone","Lauren LaVera","David Howard Thornton"
"tt10404944","movie","The Stronghold","BAC Nord",0,2020,105,"Action","6.9","Cédric Jimenez","Gilles Lellouche","Karim Leklou"
"tt10431500","movie","Miracle in Cell No. 7","Yedinci Kogustaki Mucize",0,2019,132,"Drama","8.2","Mehmet Ada Öztekin","Aras Bulut Iynemli","Nisa Sofiya Aksongur"
"tt1051906","movie","The Invisible Man","The Invisible Man",0,2020,124,"Drama","7.1","Leigh Whannell","Elisabeth Moss","Oliver Jackson-Cohen"
"tt10521092","movie","The Forgotten Battle","De slag om de Schelde",0,2020,124,"Drama","7.1","Matthijs van Heijningen Jr.","Gijs Blom","Jamie Flatters"
"tt10521144","movie","Nightbooks","Nightbooks",0,2021,103,"Family","5.8","David Yarovesky","Winslow Fegley","Lidya Jewett"
"tt10545296","movie","The Hunger Games: The Ballad of Songbirds & Snakes","The Hunger Games: The Ballad of Songbirds & Snakes",0,2023,157,"Action","6.7","Francis Lawrence","Rachel Zegler","Tom Blyth"
"tt10579952","movie","Master","Master",0,2021,179,"Action","7.4","Lokesh Kanagaraj","Joseph Vijay","Vijay Sethupathi"
"tt10612922","movie","One Night in Miami...","One Night in Miami...",0,2020,114,"Drama","7.1","Regina King","Kingsley Ben-Adir","Eli Goree"
"tt10633456","movie","Minari","Minari",0,2020,115,"Drama","7.4","Lee Isaac Chung","Steven Yeun","Han Ye-ri"
"tt10638522","movie","Talk to Me","Talk to Me",0,2022,95,"Horror","7.1","Danny Philippou","Ari McCarthy","Hamish Phillips"
"tt10640346","movie","Babylon","Babylon",0,2022,189,"Comedy","7.1","Damien Chazelle","Brad Pitt","Margot Robbie"
"tt10676012","movie","To All the Boys: Always and Forever","To All the Boys: Always and Forever",0,2021,109,"Comedy","6.3","Michael Fimognari","Lana Condor","Noah Centineo"
"tt10676048","movie","The Marvels","The Marvels",0,2023,105,"Action","5.5","Nia DaCosta","Brie Larson","Brie Larson"
"tt10701074","movie","Ponniyin Selvan: Part I","Ponniyin Selvan: Part One",0,2022,167,"Action","7.6","Mani Ratnam","Vikram","Aishwarya Rai Bachchan"
"tt10706602","movie","Collective","Colectiv",0,2019,109,"Crime","8.1","Alexander Nanau","Dan Alexandru Condrea","Liviu Iolu"
"tt1070874","movie","The Trial of the Chicago 7","The Trial of the Chicago 7",0,2020,129,"Drama","7.7","Aaron Sorkin","Eddie Redmayne","Alex Sharp"
"tt10709484","movie","Don","Don",0,2022,165,"Comedy","6.8","Cibi Chakravarthi","Sivakarthikeyan","Priyanka Arulmohan"
"tt10752004","movie","Love Hard","Love Hard",0,2021,104,"Comedy","6.3","Hernán Jiménez","Nina Dobrev","Jimmy O. Yang"
