"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","runtimeMinutes","genre","averageRating","Director","Star1","Star2"
"tt8093700","movie","The Woman King","The Woman King",0,2022,135,"Action","6.9","Gina Prince-Bythewood","Viola Davis","Thuso Mbedu"
"tt8096846","movie","White Plastic Sky","Müanyag égbolt",0,2023,110,"Animation","6.7","Tibor Bánóczki","Tamás Keresztes","Zsófia Szamosi"
"tt8097030","movie","Turning Red","Turning Red",0,2022,100,"Adventure","7","Domee Shi","Rosalie Chiang","Rosalie Chiang"
"tt8129682","movie","Phobias","Phobias",0,2021,85,"Horror","3.6","Camilla Belle","Leonardo Nam","Macy Gray"
"tt8129806","movie","To Leslie","To Leslie",0,2022,119,"Drama","7.1","Michael Morris","Andrea Riseborough","Drew Youngblood"
"tt8130518","movie","Dark Cloud","Dark Cloud",0,2022,81,"Horror","3.7","Jay Ness","Emily Atack","Hugo Armstrong"
"tt8174412","movie","Funny Pages","Funny Pages",0,2022,86,"Comedy","6.2","Owen Kline","Daniel Zolghadri","Matthew Maher"
"tt8178634","movie","RRR","RRR (Rise Roar Revolt)",0,2022,187,"Action","7.8","S.S. Rajamouli","N.T. Rama Rao Jr.","Ram Charan"
"tt8258502","movie","Foe","Foe",0,2023,110,"Drama","5.4","Garth Davis","Saoirse Ronan","Paul Mescal"
"tt8268302","movie","I Work at the Cemetery","Ya pratsyuyu na tsvyntari",0,2021,100,"Comedy","7.4","Alexey Taranenko","Vitaliy Saliy","Wiktoria Gorodecka"
"tt8269248","movie","Vakeel Saab","Vakeel Saab",0,2021,153,"Action","6.9","Venu Sriram","Pawan Kalyan","Nivetha Thomas"
"tt8302382","movie","Krack","Krack",0,2021,154,"Action","6.9","Gopichand Malineni","Ravi Teja","Shruti Haasan"
"tt8302918","movie","Kaathu Vaakula Rendu Kaadhal","Kaathu Vaakula Rendu Kaadhal",0,2022,157,"Comedy","5.5","Vignesh Shivan","Vijay Sethupathi","Vijay Sethupathi"
"tt8310486","movie","Miller's Girl","Miller's Girl",0,2024,93,"Comedy","5.2","Jade Halley Bartlett","Martin Freeman","Jenna Ortega"
"tt8345300","movie","Marakkar: Lion of the Arabian Sea","Marakkar: Lion of the Arabian Sea",0,2021,181,"Action","5.9","Priyadarshan","Mohanlal","Arjun Sarja"
"tt8347960","movie","Breath","Breath",0,2022,106,"Drama","4.8","John Real","James Cosmo","Rachel Daigh"
"tt8376234","movie","Peter Rabbit 2: The Runaway","Peter Rabbit 2: The Runaway",0,2021,93,"Adventure","6.2","Will Gluck","Rose Byrne","Domhnall Gleeson"
"tt8385148","movie","Hitman's Wife's Bodyguard","Hitman's Wife's Bodyguard",0,2021,100,"Action","6.1","Patrick Hughes","Ryan Reynolds","Samuel L. Jackson"
"tt8426926","movie","Shamshera","Shamshera",0,2022,178,"Action","4.7","Karan Malhotra","Ranbir Kapoor","Ranbir Kapoor"
"tt8428550","movie","Canvas","Canvas",0,2021,83,"Horror","6.1","Ryan Guiterman","Mandy Bishop","Joseph Bondulich"
"tt8456190","movie","Seal Team","Seal Team",0,2021,101,"Action","5.6","Greig Cameron","J.K. Simmons","Dolph Lundgren"
"tt8542964","movie","Sleeping Dogs","Sleeping Dogs",0,2024,110,"Crime","6.1","Adam Cooper","Russell Crowe","Karen Gillan"
"tt8545482","movie","Zone 414","Zone 414",0,2021,98,"Adventure","5","Andrew Baird","Guy Pearce","Matilda Anna Ingrid Lutz"
"tt8550054","movie","Pleasure","Pleasure",0,2021,109,"Drama","6.4","Ninja Thyberg","Sofia Kappel","Zelda Morrison"
"tt8589698","movie","Teenage Mutant Ninja Turtles: Mutant Mayhem","Teenage Mutant Ninja Turtles: Mutant Mayhem",0,2023,99,"Action","7.2","Jeff Rowe","Micah Abbey","Shamon Brown Jr."
"tt8591526","movie","Fremont","Fremont",0,2023,91,"Drama","6.9","Babak Jalali","Anaita Wali Zada","Gregg Turkington"
"tt8591792","movie","Bhavai","Bhavai",0,2021,114,"Drama","5.7","Hardik Gajjar","Pratik Gandhi","Aindrita Ray"
"tt8622232","movie","Time to Dance","Time to Dance",0,2021,113,"Musical","2.4","Stanley D'Costa","Sooraj Pancholi","Isabelle Kaif"
"tt8667828","movie","Outlaw Johnny Black","Outlaw Johnny Black",0,2023,130,"Action","5.5","Michael Jai White","Michael Jai White","Anika Noni Rose"
"tt8737152","movie","Toma","Toma",0,2021,140,"Biography","8.7","Dragan Bjelogrlic","Milan Maric","Tamara Dragicevic"
"tt8906844","movie","One and the Same","One and the Same",0,2021,110,"Mystery","4","Felipe Cisneros","Acoryé White","Makena Taylor"
"tt8907882","movie","Cinderella","Cinderella",0,2021,122,"Drama","4.7","Vinod Venkatesh","B. Abhilash","Abhinaya"
"tt8907974","movie","Looop Lapeta","Looop Lapeta",0,2022,131,"Action","5.2","Aakash Bhatia","Taapsee Pannu","Tahir Raj Bhasin"
"tt8907992","movie","The Girl on the Train","The Girl on the Train",0,2021,120,"Crime","4","Ribhu Dasgupta","Parineeti Chopra","Aditi Rao Hydari"
"tt8912936","movie","DC League of Super-Pets","DC League of Super-Pets",0,2022,105,"Action","7.1","Jared Stern","Dwayne Johnson","Kevin Hart"
"tt8955940","movie","Agent Revelation","Agent Revelation",0,2021,86,"Action","3.5","Derek Ting","Derek Ting","Michael Dorn"
"tt8956284","movie","Rimini","Rimini",0,2022,114,"Comedy","6.9","Ulrich Seidl","Michael Thomas","Tessa Göttlicher"
"tt8956324","movie","Warning","Warning",0,2021,86,"Drama","4.6","Agata Alexander","Thomas Jane","Tomasz Kot"
"tt8984572","movie","Bob Biswas","Bob Biswas",0,2021,131,"Action","6.7","Diya Annapurna Ghosh","Abhishek Bachchan","Chitrangda Singh"
"tt9032400","movie","Eternals","Eternals",0,2021,156,"Action","6.3","Chloé Zhao","Gemma Chan","Richard Madden"
"tt9077876","movie","13 Fanboy","13 Fanboy",0,2021,101,"Horror","3.9","Deborah Voorhees","Dee Wallace","Hayley Greenbauer"
"tt9085008","movie","Human Resources","Human Resources",0,2021,108,"Horror","4.2","Braden Swope","Hugh McCrae Jr.","Sarah José"
"tt9114286","movie","Black Panther: Wakanda Forever","Black Panther: Wakanda Forever",0,2022,161,"Action","6.7","Ryan Coogler","Letitia Wright","Lupita Nyong'o"
"tt9115530","movie","The Eyes of Tammy Faye","The Eyes of Tammy Faye",0,2021,126,"Biography","6.6","Michael Showalter","Jessica Chastain","Andrew Garfield"
"tt9115574","movie","Om - The Battle Within","Om - The Battle Within",0,2022,135,"Action","2.8","Kapil Verma","Petrosyan Armen","Vicky Arora"
"tt9126944","movie","Override","R.I.A.",0,2021,95,"Crime","3.9","Richard Colton","Luke Goss","Luke Goss"
"tt9155512","movie","The Visitor from the Future","Le visiteur du futur",0,2022,105,"Action","5.8","François Descraques","Arnaud Ducret","Florent Dorin"
"tt9198364","movie","Three Thousand Years of Longing","Three Thousand Years of Longing",0,2022,108,"Drama","6.7","George Miller","Tilda Swinton","Idris Elba"
"tt9201772","movie","Mending the Line","Mending the Line",0,2022,122,"Drama","6.7","Joshua Caldwell","Perry Mattfeld","Brian Cox"
"tt9203694","movie","Stowaway","Stowaway",0,2021,116,"Adventure","5.7","Joe Penna","Anna Kendrick","Daniel Dae Kim"
"tt9204328","movie","Dark Harvest","Dark Harvest",0,2023,96,"Fantasy","5.5","David Slade","Casey Likes","Emyri Crutchfield"
"tt9205538","movie","Je Suis Karl","Je suis Karl",0,2021,126,"Drama","5.5","Christian Schwochow","Luna Wedler","Jannis Niewöhner"
"tt9242528","movie","The Survivor","The Survivor",0,2021,129,"Biography","6.7","Barry Levinson","Ben Foster","Billy Magnussen"
"tt9243804","movie","The Green Knight","The Green Knight",0,2021,130,"Adventure","6.6","David Lowery","Dev Patel","Alicia Vikander"
"tt9244554","movie","Last Looks","Last Looks",0,2021,110,"Action","5.8","Tim Kirkby","Charlie Hunnam","Mel Gibson"
"tt9274670","movie","13 Minutes","13 Minutes",0,2021,108,"Action","4.7","Lindsay Gossling","Thora Birch","Amy Smart"
"tt9275006","movie","Jack N Jill","Jack N Jill",0,2022,125,"Comedy","1.5","Santosh Sivan","Manju Warrier","Kalidas Jayaram"
"tt9319826","movie","Jungle Cry","Jungle Cry",0,2022,117,"Drama","7.2","Sagar Ballary","Abhay Deol","Emily Shah"
"tt9319874","movie","Maara","Maara",0,2021,149,"Adventure","7.5","Dhilip Kumar","Madhavan","Shraddha Srinath"
"tt9320140","movie","The Man with the Answers","The Man with the Answers",0,2021,80,"Drama","6.8","Stelios Kammitsis","Vasilis Magouliotis","Anton Weil"
"tt9320226","movie","Yuvarathnaa","Yuvarathnaa",0,2021,161,"Action","6.3","Santhosh Ananddram","Puneeth Rajkumar","Puneeth Rajkumar"
"tt9322884","movie","Aakashavaani","Aakashavaani",0,2021,124,"Drama","6.9","Ashwin Gangaraju","Samuthirakani","Vinay Varma"
"tt9357050","movie","Dear Evan Hansen","Dear Evan Hansen",0,2021,137,"Drama","6.1","Stephen Chbosky","Ben Platt","Julianne Moore"
"tt9362492","movie","Restore Point","Bod obnovy",0,2023,115,"Crime","6.3","Robert Hloz","Andrea Mohylová","Matej Hádek"
"tt9362722","movie","Spider-Man: Across the Spider-Verse","Spider-Man: Across the Spider-Verse",0,2023,140,"Action","8.6","Joaquim Dos Santos","Shameik Moore","Hailee Steinfeld"
"tt9362930","movie","Blue Beetle","Blue Beetle",0,2023,127,"Action","5.9","Angel Manuel Soto","Xolo Maridueña","Bruna Marquezine"
"tt9365800","movie","Slayers","Slayers",0,2022,88,"Comedy","3.3","K. Asher Levin","Thomas Jane","Kara Hayward"
"tt9471660","movie","Fever Dream","Distancia de rescate",0,2021,93,"Drama","5.5","Claudia Llosa","María Valverde","Jolene Andersen"
"tt9471678","movie","Ultraman: Rising","Ultraman: Rising",0,2024,117,"Action","6.9","Shannon Tindle","Christopher Sean","Christopher Sean"
"tt9472334","movie","Malum","Malum",0,2023,92,"Drama","5.1","Anthony DiBlasi","Jessica Sula","Monroe Cline"
"tt9557068","movie","Grotesque","Grotesque",0,2022,83,"Horror","4.3","Brandon Rhiness","Darrell Portz","Elizabeth Chamberlain"
"tt9585676","movie","Body Brokers","Body Brokers",0,2021,111,"Drama","6.2","John Swab","Suzanne Wind","Frank Grillo"
"tt9592496","movie","Pogaru","Pogaru",0,2021,160,"Action","3.6","Nanda Kishore","Dhruva Sarja","Rashmika Mandanna"
"tt9624498","movie","Bajrang Aur Ali","Bajrang Aur Ali",0,2024,122,"Drama","7.8","Jaiveer","Riddhi Gupta","Jaiveer"
"tt9633480","movie","Uppena","Uppena",0,2021,147,"Action","6.5","Buchi Babu Sana","Panja Vaisshnav Tej","Krithi Shetty"
"tt9636732","movie","Israelism","Israelism",0,2023,84,"Documentary","7.6","Erin Axelman","Peter Beinart","Jeremy Ben-Ami"
"tt9637132","movie","Samrat Prithviraj","Samrat Prithviraj",0,2022,135,"Action","5.6","Chandra Prakash Dwivedi","Akshay Kumar","Manushi Chhillar"
"tt9663168","movie","The Devil Conspiracy","The Devil Conspiracy",0,2022,111,"Horror","4.6","Nathan Frankowski","Alice Orr-Ewing","Joe Doyle"
"tt9663764","movie","Aquaman and the Lost Kingdom","Aquaman and the Lost Kingdom",0,2023,124,"Action","5.6","James Wan","Jason Momoa","Patrick Wilson"
"tt9663896","movie","Asphalt City","Asphalt City",0,2023,125,"Drama","6.1","Jean-Stéphane Sauvaire","Sean Penn","Tye Sheridan"
"tt9664108","movie","Voyagers","Voyagers",0,2021,108,"Adventure","5.5","Neil Burger","Colin Farrell","Tye Sheridan"
"tt9669176","movie","Accident Man: Hitman's Holiday","Accident Man: Hitman's Holiday",0,2022,96,"Action","5.9","George Kirby","Scott Adkins","Ray Stevenson"
"tt9701940","movie","Fear Street: Part Two - 1978","Fear Street: 1978",0,2021,109,"Drama","6.7","Leigh Janiak","Sadie Sink","Emily Rudd"
"tt9701942","movie","Fear Street: Part Three - 1666","Fear Street: 1666",0,2021,114,"Horror","6.6","Leigh Janiak","Kiana Madeira","Kiana Madeira"
"tt9741180","movie","The Last Thing Mary Saw","The Last Thing Mary Saw",0,2021,89,"Drama","5.1","Edoardo Vitaletti","Stefanie Scott","Daniel Pearce"
"tt9742794","movie","The Vault","Way Down",0,2021,118,"Action","6.4","Jaume Balagueró","Freddie Highmore","Astrid Bergès-Frisbey"
"tt9777666","movie","The Tomorrow War","The Tomorrow War",0,2021,138,"Action","6.6","Chris McKay","Chris Pratt","Yvonne Strahovski"
"tt9783600","movie","Spiderhead","Spiderhead",0,2022,106,"Action","5.5","Joseph Kosinski","Chris Hemsworth","Miles Teller"
"tt9784708","movie","Rise of the Teenage Mutant Ninja Turtles: The Movie","Rise of the Teenage Mutant Ninja Turtles",0,2022,82,"Action","6.2","Andy Suriano","Ben Schwartz","Ben Schwartz"
"tt9784798","movie","Judas and the Black Messiah","Judas and the Black Messiah",0,2021,126,"Biography","7.4","Shaka King","LaKeith Stanfield","Daniel Kaluuya"
"tt9809006","movie","A Genie's Tail","A Genie's Tail",0,2022,89,"Comedy","4.4","Brent Huff","Jake Paul","Kevin P. Farley"
"tt9808510","movie","Vellam","Vellam",0,2021,154,"Biography","7.6","Prajesh Sen","Samyuktha Menon","Indrans"
"tt9851854","movie","Major","Major",0,2022,150,"Action","8.1","Sashi Kiran Tikka","Adivi Sesh","Prakash Raj"
"tt9853500","movie","Bandit","Bandit",0,2022,126,"Crime","6.4","Allan Ungar","Josh Duhamel","Elisha Cuthbert"
"tt9854058","movie","Shadows","Shadows",0,2022,101,"Action","6.2","Michael Matteo Rossi","Krista Allen","Francis Capra"
"tt9859574","movie","Shiv Shastri Balboa","Shiv Shastri Balboa",0,2022,130,"Comedy","6.5","Ajayan Venugopalan","Anupam Kher","Neena Gupta"
"tt9860858","movie","Costa Brava, Lebanon","Costa Brava, Lebanon",0,2021,106,"Drama","6.7","Mounia Akl","Yumna Marwan","Nadine Labaki"
"tt9900940","movie","Scrapper","The Scrapper",0,2021,87,"Crime","4.4","Bari Kang","Craig muMs Grant","Myles Clohessy"
"tt0293429","movie","Mortal Kombat","Mortal Kombat",0,2021,110,"Action","6","Simon McQuoid","Lewis Tan","Jessica McNamee"
"tt10023022","movie","Clean","Clean",0,2021,94,"Action","5.6","Paul Solet","Adrien Brody","Glenn Fleshler"
"tt10023286","movie","The Humans","The Humans",0,2021,108,"Drama","6.1","Stephen Karam","Richard Jenkins","Jayne Houdyshell"
"tt10028196","movie","Laal Singh Chaddha","Laal Singh Chaddha",0,2022,159,"Comedy","5.6","Advait Chandan","Aamir Khan","Ahmad Ibn Umar"
"tt10062338","movie","Earwig","Earwig",0,2021,114,"Drama","5.3","Lucile Hadzihalilovic","Paul Hilton","Romane Hemelaers"
"tt10062556","movie","Bhuj: The Pride of India","Bhuj: The Pride of India",0,2021,113,"Action","4.2","Abhishek Dudhaiya","Ajay Devgn","Sanjay Dutt"
"tt10088984","movie","Between Two Worlds","Ouistreham",0,2021,106,"Drama","6.9","Emmanuel Carrère","Juliette Binoche","Louise Pociecka"
"tt10092698","movie","All Fun and Games","All Fun and Games",0,2023,76,"Horror","4.3","Eren Celeboglu","Asa Butterfield","Natalia Dyer"
"tt10095582","movie","The Tragedy of Macbeth","The Tragedy of Macbeth",0,2021,105,"Drama","7.1","Joel Coen","Denzel Washington","Frances McDormand"
"tt10096842","movie","False Positive","False Positive",0,2021,92,"Horror","4.6","John Lee","Ilana Glazer","Justin Theroux"
"tt10121392","movie","Thunder Force","Thunder Force",0,2021,106,"Action","4.6","Ben Falcone","Melissa McCarthy","Octavia Spencer"
"tt10128846","movie","Megalopolis","Megalopolis",0,2024,138,"Drama","6.9","Francis Ford Coppola","Adam Driver","Giancarlo Esposito"
"tt10151854","movie","Shazam! Fury of the Gods","Shazam! Fury of the Gods",0,2023,130,"Action","5.9","David F. Sandberg","Zachary Levi","Asher Angel"
"tt10152736","movie","Thalaivi","Thalaivi",0,2021,153,"Biography","5.9","A.L. Vijay","Kangana Ranaut","Arvind Swamy"
"tt10155932","movie","Cinderella","Cinderella",0,2021,112,"Comedy","4.4","Kay Cannon","Camila Cabello","Billy Porter"
"tt10187208","movie","A Boy Called Christmas","A Boy Called Christmas",0,2021,106,"Adventure","6.7","Gil Kenan","Maggie Smith","Isabella O'Sullivan"
"tt10189536","movie","Barbarians","Barbarians",0,2021,89,"Crime","4.7","Charles Dorfman","Tom Cullen","Inès Spiridonov"
"tt10223460","movie","Marry Me","Marry Me",0,2022,112,"Comedy","6.1","Kat Coiro","Jennifer Lopez","Owen Wilson"
"tt10290116","movie","Gaalipata 2","Gaalipata 2",0,2022,151,"Comedy","6","Yograj Bhat","Ganesh","Diganth"
"tt10290510","movie","Undercover Wedding Crashers","Operación Camarón",0,2021,90,"Comedy","5.5","Carlos Therón","Julián López","'Nene' Carlos Librado"
"tt10293406","movie","The Power of the Dog","The Power of the Dog",0,2021,126,"Drama","6.8","Jane Campion","Benedict Cumberbatch","Kirsten Dunst"
"tt10295212","movie","Shershaah","Shershaah",0,2021,135,"Action","8.3","Vishnuvardhan","Sidharth Malhotra","Sidharth Malhotra"
"tt10322274","movie","Schumacher","Schumacher",0,2021,112,"Biography","7.4","Hanns-Bruno Kammertöns","Ross Brawn","Flavio Briatore"
"tt10323676","movie","The Contractor","The Contractor",0,2022,103,"Action","5.8","Tarik Saleh","Chris Pine","Gillian Jacobs"
"tt10327252","movie","The Forever Purge","The Forever Purge",0,2021,103,"Action","5.4","Everardo Gout","Ana de la Reguera","Tenoch Huerta"
"tt10351180","movie","Bad Boy","Bad Boy",0,2023,122,"Comedy","6.8","Rajkumar Santoshi","Namashi Chakraborthy","Amrin Qureshi"
"tt10354106","movie","Stars at Noon","Stars at Noon",0,2022,135,"Drama","5.5","Claire Denis","Margaret Qualley","Joe Alwyn"
"tt10380900","movie","Petrov's Flu","Petrovy v grippe",0,2021,145,"Drama","6.7","Kirill Serebrennikov","Semyon Serzin","Chulpan Khamatova"
"tt10381014","movie","The War Below","The War Below",0,2021,96,"Drama","6.5","J.P. Watts","Sam Hazeldine","Tom Goodman-Hill"
"tt10400028","movie","I Am Zlatan","Jag är Zlatan",0,2021,100,"Biography","6.2","Jens Sjögren","Granit Rushiti","Dominic Andersson Bajraktati"
"tt10403420","movie","Terrifier 2","Terrifier 2",0,2022,138,"Horror","6.1","Damien Leone","Lauren LaVera","David Howard Thornton"
"tt10405142","movie","Serial (Bad) Weddings 3","Qu'est-ce qu'on a tous fait au Bon Dieu ?",0,2021,98,"Comedy","6.1","Philippe de Chauveron","Christian Clavier","Chantal Lauby"
"tt10406596","movie","You Are Not My Mother","You Are Not My Mother",0,2021,93,"Drama","5.8","Kate Dolan","Hazel Doupe","Carolyn Bracken"
"tt10410506","movie","Brainwashed: Sex-Camera-Power","Brainwashed: Sex-Camera-Power",0,2022,107,"Documentary","6.2","Nina Menkes","Rhiannon Aarons","Rosanna Arquette"
"tt10442352","movie","Thelma the Unicorn","Thelma the Unicorn",0,2024,93,"Adventure","5.8","Jared Hess","Brittany Howard","Will Forte"
"tt10443794","movie","The United Way","The United Way",0,2021,90,"Documentary","7.2","Mat Hodgson","Eric Cantona","Ken Ramsden"
"tt10451312","movie","The Marco Effect","Marco effekten",0,2021,125,"Crime","5.3","Martin Zandvliet","Ulrich Thomsen","Zaki Youssef"
"tt10473036","movie","The Amazing Maurice","The Amazing Maurice",0,2022,93,"Adventure","6.2","Toby Genkel","Hugh Laurie","Emilia Clarke"
"tt10503988","movie","Exploited","Exploited",0,2022,81,"Horror","4.3","Jon Abrahams","Jordan Ver Hoeve","Andrew Matthew Welch"
"tt8814500","movie","Cryo","Cryo",0,2022,118,"Mystery","4.1","Barrett Burgin","Jyllian Petrie","Jyllian Petrie"
"tt8847712","movie","The French Dispatch","The French Dispatch of the Liberty, Kansas Evening Sun",0,2021,107,"Comedy","7.1","Wes Anderson","Benicio Del Toro","Adrien Brody"
"tt8851084","movie","Disappear Completely","Desaparecer por completo",0,2022,106,"Horror","6.3","Luis Javier Henaine","Harold Torres","Tete Espinoza"
"tt8851148","movie","The In Between","The In Between",0,2022,115,"Drama","5.9","Arie Posin","Joey King","Kyle Allen"
